name,PFRID
Donovan Peoples-Jones,/players/P/PeopDo00.htm
Jerry Jeudy,/players/J/JeudJe00.htm
Eno Benjamin,/players/B/BenjEn00.htm
Melvin Gordon,/players/G/GordMe00.htm
Darnell Mooney,/players/M/MoonDa00.htm
DeAndre Carter,/players/C/CartDe02.htm
Darius Slayton,/players/S/SlayDa01.htm
Brandin Cooks,/players/C/CookBr00.htm
Isiah Pacheco,/players/P/PachIs00.htm
Darrell Henderson,/players/H/HendDa00.htm
Cooper Rush,/players/R/RushCo00.htm
Marquez Valdes-Scantling,/players/V/ValdMa00.htm
Olamide Zaccheaus,/players/Z/ZaccOl01.htm
David Njoku,/players/N/NjokDa00.htm
Chase Claypool,/players/C/ClayCh01.htm
Dontrell Hilliard,/players/H/HillDo00.htm
Diontae Johnson,/players/J/JohnDi01.htm
Gerald Everett,/players/E/EverGe00.htm
Allen Robinson,/players/R/RobiAl02.htm
Nico Collins,/players/C/CollNi00.htm
Mike Gesicki,/players/G/GesiMi00.htm
Hayden Hurst,/players/H/HursHa00.htm
Mitchell Trubisky,/players/T/TrubMi00.htm
Rachaad White,/players/W/WhitRa01.htm
Romeo Doubs,/players/D/DoubRo00.htm
Marvin Jones,/players/J/JoneMa02.htm
Corey Davis,/players/D/DaviCo03.htm
DeVante Parker,/players/P/ParkDe01.htm
Rashaad Penny,/players/P/PennRa00.htm
Alec Pierce,/players/P/PierAl00.htm
Kyle Pitts,/players/P/PittKy00.htm
Josh Reynolds,/players/R/ReynJo00.htm
Kenneth Gainwell,/players/G/GainKe00.htm
Rondale Moore,/players/M/MoorRo02.htm
Dalton Schultz,/players/S/SchuDa00.htm
Will Dissly,/players/D/DissWi00.htm
Nick Westbrook-Ikhine,/players/W/WestNi00.htm
Joe Flacco,/players/F/FlacJo00.htm
Marquise Goodwin,/players/G/GoodMa00.htm
Dawson Knox,/players/K/KnoxDa00.htm
Evan Engram,/players/E/EngrEv00.htm
Hunter Henry,/players/H/HenrHu00.htm
Jameis Winston,/players/W/WinsJa00.htm
Greg Dortch,/players/D/DortGr01.htm
Jahan Dotson,/players/D/DotsJa00.htm
Tyler Higbee,/players/H/HigbTy00.htm
Jerick McKinnon,/players/M/McKiJe00.htm
Noah Brown,/players/B/BrowNo00.htm
Robert Tonyan,/players/T/TonyRo00.htm
Quez Watkins,/players/W/WatkQu00.htm
Treylon Burks,/players/B/BurkTr00.htm
Randall Cobb,/players/C/CobbRa00.htm
James Cook,/players/C/CookJa01.htm
Chase Edmonds,/players/E/EdmoCh00.htm
Caleb Huntley,/players/H/HuntCa02.htm
Alexander Mattison,/players/M/MattAl01.htm
Jordan Akins,/players/A/AkinJo00.htm
Noah Fant,/players/F/FantNo00.htm
Nelson Agholor,/players/A/AghoNe00.htm
Rashod Bateman,/players/B/BateRa00.htm
Terrace Marshall Jr.,/players/M/MarsTe00.htm
Chris Moore,/players/M/MoorCh00.htm
